"","Item_Identifier","Outlet_Identifier","Item_Outlet_Sales"
"8524","FDW58","OUT049",116.801537301587
"8525","FDW14","OUT017",1065.11726817213
"8526","NCN55","OUT010",1065.11726817213
"8527","FDQ58","OUT017",1065.11726817213
"8528","FDY38","OUT027",1065.11726817213
"8529","FDH56","OUT046",1065.11726817213
"8530","FDL48","OUT018",1065.11726817213
"8531","FDC48","OUT027",1065.11726817213
"8532","FDN33","OUT045",1065.11726817213
"8533","FDA36","OUT017",1065.11726817213
"8534","FDT44","OUT017",1065.11726817213
"8535","FDQ56","OUT045",1065.11726817213
"8536","NCC54","OUT019",1065.11726817213
"8537","FDU11","OUT049",1065.11726817213
"8538","DRL59","OUT013",1065.11726817213
"8539","FDM24","OUT049",1065.11726817213
"8540","FDI57","OUT045",1065.11726817213
"8541","DRC12","OUT018",2388.12603163539
"8542","NCM42","OUT027",2388.12603163539
"8543","FDA46","OUT010",2388.12603163539
"8544","FDA31","OUT013",3064.09172
"8545","NCJ31","OUT035",2388.12603163539
"8546","FDG52","OUT046",2388.12603163539
"8547","NCL19","OUT019",2388.12603163539
"8548","FDS10","OUT035",2388.12603163539
"8549","FDX22","OUT010",263.26925361552
"8550","NCF19","OUT035",263.26925361552
"8551","NCE06","OUT046",1666.82872917038
"8552","DRC27","OUT046",263.26925361552
"8553","FDE21","OUT035",1666.82872917038
"8554","NCR42","OUT019",1666.82872917038
"8555","FDX51","OUT018",1666.82872917038
"8556","NCR06","OUT018",3064.09172
"8557","FDU31","OUT027",1666.82872917038
"8558","FDU59","OUT017",1666.82872917038
"8559","FDR03","OUT027",1666.82872917038
"8560","FDS49","OUT027",1666.82872917038
"8561","FDD48","OUT010",1666.82872917038
"8562","NCF18","OUT017",1666.82872917038
"8563","NCD43","OUT027",263.26925361552
"8564","NCD54","OUT018",1666.82872917038
"8565","FDY19","OUT010",1666.82872917038
"8566","NCY54","OUT017",3064.09172
"8567","NCL19","OUT018",1666.82872917038
"8568","FDP23","OUT010",1666.82872917038
"8569","FDC26","OUT013",263.26925361552
"8570","FDR14","OUT010",1666.82872917038
"8571","NCS41","OUT035",1666.82872917038
"8572","FDF41","OUT035",1666.82872917038
"8573","FDU34","OUT046",1666.82872917038
"8574","DRH11","OUT046",1666.82872917038
"8575","FDM03","OUT013",3064.09172
"8576","FDS31","OUT017",1666.82872917038
"8577","FDJ20","OUT017",263.26925361552
"8578","FDV44","OUT027",1666.82872917038
"8579","FDG02","OUT049",263.26925361552
"8580","FDA09","OUT013",1666.82872917038
"8581","FDT04","OUT013",1666.82872917038
"8582","FDL58","OUT019",1666.82872917038
"8583","FDE52","OUT045",1666.82872917038
"8584","FDW12","OUT035",1666.82872917038
"8585","FDL51","OUT017",1666.82872917038
"8586","NCY42","OUT027",1666.82872917038
"8587","FDR07","OUT017",3064.09172
"8588","FDN40","OUT045",116.801537301587
"8589","FDB35","OUT027",1065.11726817213
"8590","FDA22","OUT017",1065.11726817213
"8591","NCL06","OUT046",1065.11726817213
"8592","FDI35","OUT013",1065.11726817213
"8593","NCW42","OUT045",1065.11726817213
"8594","NCX06","OUT049",1065.11726817213
"8595","FDC37","OUT027",1065.11726817213
"8596","FDZ14","OUT018",1065.11726817213
"8597","DRG49","OUT049",116.801537301587
"8598","NCG06","OUT045",1666.82872917038
"8599","DRC36","OUT045",1666.82872917038
"8600","FDV21","OUT019",1666.82872917038
"8601","FDB53","OUT046",1666.82872917038
"8602","DRP47","OUT019",1666.82872917038
"8603","FDA14","OUT013",1666.82872917038
"8604","DRC24","OUT035",1666.82872917038
"8605","FDW21","OUT018",3064.09172
"8606","NCH29","OUT046",509.407597934869
"8607","FDU58","OUT013",509.407597934869
"8608","FDY27","OUT017",509.407597934869
"8609","FDV56","OUT035",116.801537301587
"8610","FDT59","OUT046",509.407597934869
"8611","FDB23","OUT046",509.407597934869
"8612","FDR49","OUT045",116.801537301587
"8613","FDB03","OUT010",509.407597934869
"8614","FDN39","OUT045",509.407597934869
"8615","FDX02","OUT027",509.407597934869
"8616","FDQ16","OUT027",2388.12603163539
"8617","FDU35","OUT018",2388.12603163539
"8618","NCT29","OUT013",263.26925361552
"8619","FDZ27","OUT046",3064.09172
"8620","FDN57","OUT017",2388.12603163539
"8621","FDA03","OUT018",2388.12603163539
"8622","FDZ36","OUT045",2388.12603163539
"8623","NCU05","OUT013",2388.12603163539
"8624","FDT39","OUT018",263.26925361552
"8625","FDK60","OUT017",2388.12603163539
"8626","FDZ25","OUT017",1065.11726817213
"8627","FDG12","OUT046",1065.11726817213
"8628","DRB01","OUT019",1065.11726817213
"8629","NCC43","OUT027",1065.11726817213
"8630","FDX13","OUT019",1065.11726817213
"8631","FDM22","OUT049",1065.11726817213
"8632","FDJ03","OUT027",1065.11726817213
"8633","FDU14","OUT018",1065.11726817213
"8634","FDB33","OUT010",1666.82872917038
